===== 人体尺度 =====
--p20(印4)--
>> 我国成年人体主要参考尺度见表1-1～表1-8。
>> **表1-1 我国成年人体主要参考尺度（男）**
| 测量项目 | 位数 | 18~60岁 | 18~25岁 | 26~35岁 | 36~60岁 |
|  | P50 | 320 | 327 |
|  | P90 | 344 | 354 |
|  | P95 | 351 | 361 |
|  | P99 | 365 | 375 |
| 坐姿两肘间宽 | P1 | 353 | 359 |
|  | P5 | 372 | 378 |
|  | P10 | 381 | 389 |
|  | P50 | 421 | 435 |
|  | P90 | 470 | 485 |
|  | P95 | 485 | 499 |
|  | P99 | 513 | 527 |
| 胸围 | P1 | 772 | 775 |
|  | P5 | 799 | 803 |
|  | P10 | 812 | 820 |
|  | P50 | 869 | 885 |
|  | P90 | 939 | 967 |
|  | P95 | 958 | 990 |
|  | P99 | 1008 | 1035 |
| 腰围 | P1 | 625 | 640 |
|  | P5 | 652 | 670 |
|  | P10 | 669 | 690 |
|  | P50 | 734 | 782 |
|  | P90 | 832 | 900 |
|  | P95 | 865 | 932 |
|  | P99 | 921 | 986 |
| 臀围 | P1 | 780 | 785 |
|  | P5 | 805 | 811 |
|  | P10 | 820 | 830 |
|  | P50 | 874 | 895 |
|  | P90 | 941 | 966 |
|  | P95 | 962 | 985 |
|  | P99 | 1000 | 1023 |
>> **表1-6 我国成年水平人体参考尺度（女）（单位：mm；本页为18~55岁、18~25岁两组）**
| 测量项目 | 位数 | 18~55岁 | 18~25岁 |
| --- | --- | --- | --- |
| 胸宽 | P1 | 219 | 214 |
|  | P5 | 233 | 228 |
|  | P10 | 239 | 234 |
|  | P50 | 260 | 253 |
|  | P90 | 289 | 274 |
|  | P95 | 299 | 282 |
|  | P99 | 319 | 296 |
| 胸厚 | P1 | 159 | 155 |
|  | P5 | 170 | 166 |
|  | P10 | 176 | 171 |
|  | P50 | 199 | 191 |
|  | P90 | 230 | 215 |
|  | P95 | 239 | 222 |
|  | P99 | 260 | 237 |
| 肩宽 | P1 | 304 | 302 |
|  | P5 | 320 | 319 |
|  | P10 | 328 | 328 |
|  | P50 | 351 | 351 |
|  | P90 | 371 | 370 |
|  | P95 | 377 | 376 |
|  | P99 | 387 | 386 |
| 最大肩宽 | P1 | 347 | 342 |
|  | P5 | 363 | 359 |
|  | P10 | 371 | 367 |
|  | P50 | 397 | 391 |
|  | P90 | 428 | 415 |
|  | P95 | 438 | 424 |
|  | P99 | 458 | 439 |
| 臀宽 | P1 | 275 | 270 |
|  | P5 | 290 | 286 |
|  | P10 | 296 | 292 |
|  | P50 | 317 | 311 |
|  | P90 | 340 | 331 |
|  | P95 | 346 | 338 |
|  | P99 | 360 | 349 |
| 坐姿臀宽 | P1 | 295 | 289 |
|  | P5 | 310 | 306 |
|  | P10 | 318 | 313 |
|  | P50 | 344 | 336 |
|  | P90 | 374 | 360 |
|  | P95 | 382 | 368 |
|  | P99 | 400 | 382 |
| 坐姿两肘间宽 | P1 | 326 | 320 |
|  | P5 | 348 | 338 |
|  | P10 | 360 | 348 |
|  | P50 | 404 | 384 |
|  | P90 | 460 | 426 |
|  | P95 | 478 | 439 |
|  | P99 | 509 | 465 |
| 胸围 | P1 | 717 | 710 |
|  | P5 | 745 | 735 |
|  | P10 | 760 | 750 |
|  | P50 | 825 | 802 |
|  | P90 | 919 | 865 |
|  | P95 | 949 | 885 |
|  | P99 | 1005 | 930 |
| 腰围 | P1 | 622 | 608 |
|  | P5 | 659 | 636 |
|  | P10 | 680 | 654 |
|  | P50 | 772 | 724 |
|  | P90 | 904 | 803 |
|  | P95 | 950 | 832 |
|  | P99 | 1025 | 892 |
| 臀围 | P1 | 795 | 790 |
|  | P5 | 824 | 815 |
|  | P10 | 840 | 830 |
|  | P50 | 900 | 881 |
|  | P90 | 975 | 940 |
|  | P95 | 1000 | 959 |
|  | P99 | 1044 | 994 |
--p25(印9)--
>> **续表（表1-6 我国成年水平人体参考尺度（女）续：26~35岁、36~55岁两组）**
| 测量项目 | 位数 | 26~35岁 | 36~55岁 |
| --- | --- | --- | --- |
| 胸宽 | P1 | 221 | 225 |
|  | P5 | 234 | 238 |
|  | P10 | 240 | 245 |
|  | P50 | 260 | 269 |
|  | P90 | 287 | 301 |
|  | P95 | 295 | 309 |
|  | P99 | 313 | 327 |
| 胸厚 | P1 | 160 | 166 |
|  | P5 | 171 | 177 |
|  | P10 | 177 | 183 |
|  | P50 | 198 | 208 |
|  | P90 | 227 | 240 |
|  | P95 | 236 | 251 |
|  | P99 | 253 | 268 |
| 肩宽 | P1 | 304 | 305 |
|  | P5 | 320 | 323 |
|  | P10 | 328 | 329 |
|  | P50 | 350 | 350 |
|  | P90 | 372 | 372 |
|  | P95 | 378 | 378 |
|  | P99 | 387 | 390 |
| 最大肩宽 | P1 | 347 | 356 |
|  | P5 | 363 | 368 |
|  | P10 | 371 | 376 |
|  | P50 | 396 | 405 |
|  | P90 | 426 | 439 |
|  | P95 | 435 | 449 |
|  | P99 | 455 | 468 |
| 臀宽 | P1 | 277 | 282 |
|  | P5 | 290 | 296 |
|  | P10 | 296 | 301 |
|  | P50 | 317 | 323 |
|  | P90 | 339 | 345 |
|  | P95 | 345 | 352 |
|  | P99 | 358 | 366 |
| 坐姿臀宽 | P1 | 295 | 302 |
